link,submitter,date,name
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3898918,Canada Energy Regulator,2020-01-13,C04084-1 Letter to NOVA Gas Transmission Ltd. - Project Updates and Corrections to Schedule A of the Order XG-028-2019 - A7C5W0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3896688,Many Islands Pipe Lines (Canada) Limited,2020-01-08,"C04007-1 CER January 8, 2020 LL10749 - A7C4S7"
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3896622,Canada Energy Regulator,2019-12-31,C03906-1 Letter to Manitoba Hydro-Electric Board - Export Electricity as a border accommodation - A7C2W8
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3894426,Saskatchewan Power Corporation,2019-12-11,C03575-1 Letter - A7A8E9
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3892405,Canada Energy Regulator,2019-12-02,C03369-1 CER - Letter - CLFN - MIPL(C)L Pierceland Project - NOVA Gas - Saddle Lake Project - A7A5C4
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3892386,Trans Mountain Pipeline ULC,2019-11-29,C03319-1 Confirmation of Publication of Notice of Hearing (Segment 2) - A7A4H8
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3891836,Trans Mountain Pipeline ULC,2019-11-29,C03320-1 Confirmation of Publication of Notice of Hearing (Segment 3 and 4) - A7A4I0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3885372,Canada Energy Regulator,2019-11-21,C03151-1 Cover Letter - Detailed Route Hearings - Segment 3 and Segment 4 - A7A1V9
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3885142,Trans Mountain Pipeline ULC,2019-11-19,C03077-1 Letter to CER re Segment 2 Notice Publication Dates - A7A0T4
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3885409,Canada Energy Regulator,2019-11-15,C03035-1 Cover Letter - Detailed Route Hearings - Segment 2 - A7A0A6
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3885492,Canada Energy Regulator,2019-11-14,C03002-1 CER – Letter to NOVA Gas – Edson Mainline Loop 2 - Condition 3 of Order MO-063-2015 - A6Z9L7
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3872923,Canada Energy Regulator,2019-10-17,C02297-19 CER – Letter to Kesyehot’ne First Nation – NOVA Gas – Saddle Lake – Cold Lake Section - A6Y7Y9
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3872485,Sequent Energy Canada Corp.,2019-10-10,C02192-1 Letter - A6Y6G5
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3820669,Trans Mountain Pipeline ULC,2019-09-17,C01676-2 Appendix 2-1 - Trans Mountain Segment 3 Tear Sheets - A6X8H8
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3820483,Trans Mountain Pipeline ULC,2019-09-17,C01676-5 Appendix 2-4 - Trans Mountain Segment 6 Tear Sheets - A6X8I1
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3820482,Trans Mountain Pipeline ULC,2019-09-17,C01676-4 Appendix 2-3 - Trans Mountain Segment 5 Tear Sheets - A6X8I0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3820095,Trans Mountain Pipeline ULC,2019-09-17,C01676-3 Appendix 2-2 - Trans Mountain Segment 4 Tear Sheets - A6X8H9
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3820096,Trans Mountain Pipeline ULC,2019-09-17,C01676-6 Appendix 2-5 - Trans Mountain Segment 7 Tear Sheets - A6X8I2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3820268,Canada Energy Regulator,2019-09-13,C01613-1 CER – Letter - IPLs - Order MO-040-2019 - A6X7R0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3819977,Canada Energy Regulator,2019-09-13,C01613-5 CER – Letter - Order MO-041-2019 - IPLs - A6X7R4
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3819693,Trans Mountain Pipeline ULC,2019-09-05,C01502-2 Appendix - Trans Mountain Segment 7 Tearsheets - A6X5V4
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3817850,National Energy Board,2019-08-27,C01240-1 NEB - Letter - Trans Mountain - Trans Mountain Expansion - NEB Decision No. 2 - A6X2L7
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3812219,Trans Mountain Pipeline ULC,2019-08-19,C01096-1 Trans Mountain Pipeline ULC Letter to NEB regarding completion of Segment 1 Section 34(1) notice service and publication - A6W9W7
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3809855,Trans Mountain Pipeline ULC,2019-07-25,C00680-1 Trans Mountain letter re Segmented PPBoR Schedule (July 2019) - A6W3J1
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3806402,National Energy Board,2019-07-19,"C00593-3 NEB Appendix 1 - Trans Mountain Expansion - Decisions on resuming the TMEP regulatory processes - More information on applications for review, including filing instructions - English and French included - A6W1X4"
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3805653,National Energy Board,2019-07-19,C00600-1 NEB Letter - Trans Mountain - Trans Mountain Expansion - OC-065 - Form of PPBoR and sample section 34 notices - A6W2A6
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3805549,Trans Mountain Pipeline ULC,2019-07-12,C00457-1 Trans Mountain Cover Letter PPBoR Sec 34 Notice Filing - A6V9Q0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3796970,Trans-Northern Pipelines Inc.,2019-06-21,C00078-1 LT NEB re TNPI Application for Review of Board Orders - A6V4Q0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3786282,"Westcoast Energy Inc., doing business as Spectra Energy Transmission",2019-06-18,C00015-1 Letter to NEB re Westcoast Confirmation of Service - A6V3D4
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3783146,National Energy Board,2019-05-31,A99729-1 NEB – Letter – NOVA Gas – Edson Mainline Expansion - A6U9E8
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3783568,National Energy Board,2019-05-31,A99730-1 NEB - Letter - NOVA Gas - North Corridor - A6U9F1
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3783672,National Energy Board,2019-05-30,A99654-1 NEB – Letter – Westcoast – Sale of Certain Gathering and Processing Facilities – Notice of Written Comment Process - A6U8E2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3779696,Papaschase Cree Nation,2019-05-17,A99494-1 Letter on oral indigenous knowledge - A6U5U9
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3777857,National Energy Board,2019-05-10,A99363-1 NEB Letter - Order AO-001-EPE-426 - CECU - variance to transfer to Citigroup Commodities Canada ULC - A6U3S2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3777341,National Energy Board,2019-05-01,A99222-1 NEB Letter - Powerex - Permit EPE-441 - variance of letter decision dated 19 December 2018 - A6U1S5
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3769234,NOVA Gas Transmission Ltd.,2019-04-26,A99070-1 NGTL Pipeline Trust Revised SIPP - A6T9D7
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3769058,TransCanada PipeLines Limited,2019-04-26,A99071-1 TransCanada Pipeline Trust Revised SIPP - A6T9D9
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3768992,Foothills Pipe Lines Ltd.,2019-04-26,A99072-1 Foothills Pipeline Trust Revised SIPP - A6T9E1
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3768973,National Energy Board,2019-04-24,A99026-9 Letter to Métis Nation of British Columbia - North Central Region - 4BL Cottonwood River Crossover Assembly Project - A6T8Q8
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3768971,National Energy Board,2019-04-24,A99026-7 Letter to Métis Nation of British Columbia - 4BL Cottonwood River Crossover Assembly Project - A6T8Q6
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3768969,National Energy Board,2019-04-24,A99026-5 Letter to Lhtakot'en First Nation - 4BL Cottonwood River Crossover Assembly Project - A6T8Q4
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3768756,National Energy Board,2019-04-24,A99026-1 Letter to Carrier Chilcotin Tribal Council - 4BL Cottonwood River Crossover Assembly Project - A6T8Q0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3768309,National Energy Board,2019-04-24,A99026-3 Letter to Lhoosk'uz Dene First Nation - 4BL Cottonwood River Crossover Assembly Project - A6T8Q2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3769033,National Energy Board,2019-04-24,A99026-13 Letter to Tl'esqox First Nation - 4BL Cottonwood River Crossover Assembly Project - A6T8R2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3769031,National Energy Board,2019-04-24,A99026-11 Letter to Nazko First Nation - 4BL Cottonwood River Crossover Assembly Project - A6T8R0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3768590,National Energy Board,2019-04-24,A99026-17 Letter to Esdilagh First Nation - 4BL Cottonwood River Crossover Assembly Project - A6T8R6
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3768588,National Energy Board,2019-04-24,A99026-15 Letter to Tsilhqot'in National Government - 4BL Cottonwood River Crossover Assembly Project - A6T8R4
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3767907,Enbridge Gas Inc.,2019-04-17,A98918-1 Letter - A6T6I5
