,Company
0,A C LNG INC.
1,A Minell Pipelines Ltd. - MH to NEB re Annual Report Abandonment MH-- (Minell) (Jan -)
2,A Top Speed Energy BC Corp - Application for Filing A - A
3,A- Order GO-- - Export Gas (in the form of liquefied natural gas) - AVJ
4,ADG Group Inc.
5,AE & TLP
6,AEC Suffield Gas Pipeline Inc
7,"AECO Gas Storage Partnership by its Managing Partner, Niska Gas Storage Canada ULC"
8,AG-Energy L.P
9,"ALLETE, Inc. d/b/a Minnesota Power"
10,AOT Energy Canada Inc
11,ARB Midstream Logistics Canada ULC
12,ARC Resources General Partnership
13,ARC Resources Ltd
14,ARC Resources Ltd.
15,"ARM ENERGY MANAGEMENT, LLC"
16,ATCO Power Ltd.
17,AUX Sable Liquid Products LP
18,Abitibi Consolidated
19,Abitibi-Consolidated Company of Canada (now Resolute FP Canada Inc.)
20,"Abitibi-Consolidated Hydro Inc., on behalf of ACH Limited Partnership"
21,Access Gas Services (Ontario) Inc.
22,"Advantage Energy, Inc. (changed name to Integrys Energy Services of New York, Inc.)"
23,Alberta Limited
24,Alberta Ltd
25,Alberta Ltd.
26,Alberta Ltd. on behalf of Pembina Infrastructure and Logistics LP
27,"Alberta Ltd., for and on behalf of Suffield Processing Limited Partnership"
28,Alberta Natural Gas Company Ltd
29,Alberta Northeast Gas Limited
30,Alberta and Southern Gas Company Ltd
31,Alcoa Inc.
32,Algonquin Tinker Gen Co
33,Algonquin Tinker Gen Co.
34,Alliance Canada Marketing Ltd.
35,Alliance Canada Marketing Ltd. as the General Partner of Alliance Canada Marketing L.P.
36,Alliance Energy Services LLC
37,Alliance Pipeline Ltd
38,Alliance Pipeline Ltd as General Partner of Alliance Pipeline Limited Partnership
39,Alliance Pipeline Ltd.
40,Alpha Gas And Electric LLC
41,Alpine Capital Corp.
42,"AltaGas DCLNG General Partner Inc., on behalf of AltaGas DCLNG Lease Limited Partnership"
43,AltaGas Energy Limited Partnership by its administrator AltaGas Ltd.
44,AltaGas Extraction and Transmission Limited Partnership
45,AltaGas Holdings Inc
46,AltaGas Holdings Inc.
47,AltaGas Holdings Inc. as general partner for and on behalf of AltaGas Extraction and Transmission Limited Partnership
48,AltaGas Holdings Inc. on behalf of AltaGas Extraction
49,AltaGas Holdings Inc. on behalf of AltaGas Pipeline Partnership
50,AltaGas LPG General Partner Inc. on behalf of AltaGas LPG Limited Partnership
51,AltaGas Ltd.
52,AltaGas Suffield Pipeline Inc.
53,AltaGas Transmission Ltd.
54,Altagas Ltd
55,Altamont Gas Transmission Canada Limited
56,Altex Energy Ltd.
57,Altresco Pittsfield L.P
58,AmeriGas Propane LP
59,Amerigas Propane LP
60,Amoco Canada Petroleum Company Ltd
61,Androscoggin Energy LLC
62,Apache Canada Ltd
63,Apache Canada Ltd.
64,Aquila Canada Capital and Trade Corp.
65,Aquila Capital and Trade Ltd.
66,Aquilon Power Ltd
67,Arbutus Point Marine Ltd.
68,ArctiGas Resources Limited Partnership
69,"Associated Energy Services, LP"
70,Astra Canada Resource Marketing Inc.
71,Astra Energy Canada Inc
72,Atlantic Power Energy Services (Canada) Inc.
73,"Atlantic Trading & Marketing, Inc."
74,Aurora Liquefied Natural Gas Ltd.
75,Aurora Pipe Line Company
76,Aurora Pipeline Company Ltd
77,Aurora Pipeline Company Ltd.
78,Aux Sable Canada Ltd
79,Aux Sable Midstream LLC
80,Avista Corporation
81,"Avista Energy, Inc."
82,Avoca Energy Corp.
83,Axeon Marketing LLC
84,Axeon Specialty Products LLC
85,B - Alliance Pipeline Ltd
86,B - Enbridge Pipelines (NW) Inc.
87,B - Enbridge Pipelines Inc.
88,B - Foothills Pipeline Ltd
89,B - Kinder Morgan Cochin ULC
90,B - Maritimes & Northeast Pipeline LP
91,B - NOVA Gas Transmission Ltd.
92,B - Trans Mountain Pipeline ULC
93,B - TransCanada PipeLines Ltd.
94,"B - Westcoast Energy Inc., carrying on business as Spectra Energy Transmission"
95,B -Trans Quebec & Maritimes Pipeline Inc
96,B -Trans-Northern Pipelines Inc
97,B -TransCanada Keystone Pipelines GP Ltd.
98,BC Hydro and BCTC - Jointly
99,BC Hydro and Power Authority and BC Transmission Corporation - Jointly
100,BC LNG Export Co-operative LLC
101,"BG Energy Merchants Canada, Limited"
102,BNP Paribas Energy Trading Canada Corp
103,BNP Paribas Energy Trading GP
104,BP Canada Energy Company
105,BP Canada Energy Enterprises
106,BP Canada Energy Group ULC
107,BP Canada Energy Resources Company
108,BP Canada Energy Trading Company
109,BP Energy Company
110,BP Oil Supply
111,BP Products North America Inc.
112,BP Resources Canada Ltd
113,BP West Coast Products LLC
114,BTG Pactual Commodities (US) LLC
115,Barclays Canadian Commodities Limited
116,Bay State Gas Company d/b/a Columbia Gas of Massachusetts (NiSource Inc.)
117,Bayshore Petroleum Corp.
118,Bear Head LNG Corporation
119,Bear Paw Processing Company Canada Ltd
120,Bellatrix Exploration Ltd.
121,Berens Energy Ltd.
122,Beyond Energy and Trade Inc.
123,"Big Apple Energy, LLC"
124,BioUrja Trading LLC
125,"Black Oak Capital, LLC"
126,BlackPearl Resources Inc.
127,Blue Roads Solutions LLC
128,"BlueRock Energy, INC."
129,"Bluewater Gas Storage, LLC"
130,"Boise White Paper, LLC"
131,Bonavista Energy Corporation
132,Bonavista Petroleum Ltd
133,Boss Energy LLC
134,Boston Gas Company
135,Boston Gas Company d/b/a National Grid
136,Bow River Energy Limited
137,Bow River Energy Ltd.
138,Bridger Energy Trading LLC
139,British Columbia Hydro and Power Authority
140,British Columbia Hydro and Power Authority (BC Hydro)
141,British Columbia Power Exchange Corporation (POWEREX)
142,British Columbia Transmission Corporation
143,Brookfield Energy Marketing Inc and Brookfield Energy Marketing Inc as General Partner on behalf of Brookfield Energy Marketing LP
144,Brookfield Energy Marketing Inc.
145,Brooklyn Navy Yard Cogeneration Partners
146,"Brooklyn Union Gas Company d/b/a National Grid, The"
147,Bruce Power Inc.
148,Burlington Resources Canada (Hunter) Ltd
149,Burlington Resources Canada (Hunter) Ltd.
150,Burnwell Gas of Canada Ltd
151,"C National Energy Board - Order GL-- to ENGIE Energy Marketing NA, Inc. - Exportation of Gas for Subsequent Import"
152,"C National Energy Board - Order GOL-- to ENGIE Energy Marketing NA, Inc. authorizing the importation of gas for subsequent export"
153,CAL-GAS Inc
154,CAMS Midstream Services ULC
155,CANADA LTD.
156,CANADIAN WOOD PRODUCTS - MONTREAL INC.
157,CC Energy Services LLC
158,CEP Bitumen Blend Export Co
159,CHS Inc.
160,CHS McPherson Refinery Inc
161,CMS Energy Resource Management Company
162,"COYNE PROPANE, LLC"
163,CP Energy Marketing Inc
164,CP Energy Marketing Inc (formerly EPCOR Merchant and Capital Inc.)
165,"CP Energy Marketing Inc., as general partner, on behalf of CP Energy Marketing L.P."
166,CP Energy Services (Canada) Inc
167,CP Energy Services Canada Inc
168,CPD Alaska LLC
169,"CPV Three Rivers, LLC"
170,Calpine Canada Energy Corp.
171,Calpine Energy Services Canada Ltd.
172,Caltex Resources Ltd.
173,Calumet Superior LLC
174,Calumet Superior LLP
