,Company
0,1057533 Alberta Ltd
1,1057533 Alberta Ltd.
2,1057533 Alberta Ltd.
3,1057533 Alberta Ltd.
4,1057533 Alberta Ltd.
5,10730211 CANADA LTD.
6,10730211 CANADA LTD.
7,11772244 Canada Inc.
8,1321324 Alberta Limited
9,1321324 Alberta Ltd.
10,1598313 Alberta Ltd. on behalf of Pembina Infrastructure and Logistics LP
11,2001 RBCP Canadian GP Limited
12,"2001 RBCP Canadian GP Limited, as general partner of RBC Energy Services LP"
13,"2133151 Alberta Ltd., for and on behalf of Suffield Processing Limited Partnership"
14,2193914 Canada Limited
15,2193914 Canada Limited
16,2193914 Canada Limited
17,3398251 Canada Ltd.
18,605362 Ontario Limited
19,6720471 Canada Ltd
20,6720471 Canada Ltd.
21,6720471 Canada Ltd.
22,806026 Alberta Ltd.
23,A C LNG INC.
24,A89619 Minell Pipelines Ltd. - MH to NEB re Annual Report Abandonment MH-001-2013 (Minell) (Jan 29-18)
25,A99888 Top Speed Energy BC Corp - Application for Filing A99865 - A99866
26,A99953-1 Order GO-078-2019 - Export Gas (in the form of liquefied natural gas) - A6V2J2
27,Abitibi Consolidated
28,Abitibi-Consolidated Company of Canada (now Resolute FP Canada Inc.)
29,"Abitibi-Consolidated Hydro Inc., on behalf of ACH Limited Partnership"
30,"Abitibi-Consolidated Hydro Inc., on behalf of ACH Limited Partnership"
31,Access Gas Services (Ontario) Inc.
32,ADG Group Inc.
33,"Advantage Energy, Inc. (changed name to Integrys Energy Services of New York, Inc.)"
34,AE & TLP
35,AEC Suffield Gas Pipeline Inc
36,"AECO Gas Storage Partnership by its Managing Partner, Niska Gas Storage Canada ULC"
37,AG-Energy L.P
38,Alberta and Southern Gas Company Ltd
39,Alberta Natural Gas Company Ltd
40,Alberta Natural Gas Company Ltd
41,Alberta Northeast Gas Limited
42,Alberta Northeast Gas Limited
43,Alcoa Inc.
44,Algonquin Tinker Gen Co
45,Algonquin Tinker Gen Co.
46,"ALLETE, Inc. d/b/a Minnesota Power"
47,Alliance Canada Marketing Ltd.
48,Alliance Canada Marketing Ltd. as the General Partner of Alliance Canada Marketing L.P.
49,Alliance Energy Services LLC
50,Alliance Pipeline Ltd
51,Alliance Pipeline Ltd as General Partner of Alliance Pipeline Limited Partnership
52,Alliance Pipeline Ltd.
53,Alpha Gas And Electric LLC
54,Alpine Capital Corp.
