submitter,receiver,amount
"ALLETTE, Inc. d/b/a Minnesota Power",Canada Inc.,1
Alberta Department of Energy,Enbridge Pipelines Inc.,1
Alberta Department of Energy,Trans Mountain Pipeline ULC,1
AltaGas Ltd.,NOVA Gas Transmission Ltd.,1
AltaGas Ltd.,TransCanada PipeLines Limited,1
Anne Losier,NOVA Gas Transmission Ltd.,1
Attorney General of Alberta,Trans Mountain Pipeline ULC,1
Barbara Rabis,TransCanada PipeLines Limited,1
"Blake, Cassels and Graydon LLP",Morgan Stanley Capital Group Inc,1
"Booker (MH-008-2017), Thomas",Trans Mountain Pipeline ULC,1
CP Energy Marketing Inc. as general partner of CP Energy Marketing L.P.,CP Energy Marketing Inc,4
CP Energy Marketing Inc. as general partner of CP Energy Marketing L.P.,New Brunswick System Operator,4
"CP Energy Marketing Inc., as general partner, on behalf of CP Energy Marketing L.P.",CP Energy Marketing Inc,1
Canada Energy Regulator,Manitoba Hydro,1
Canada Energy Regulator,NOVA Gas Transmission Ltd.,1
Canada Energy Regulator,Trans Mountain Pipeline ULC,2
Canadian Forest Oil Ltd.,Canadian Forest Oil Ltd,1
Canim Lake Band,Trans Mountain Pipeline ULC,1
Cenovus Border Pipelines Limited,Cenovus Energy Inc,1
Centra Gas Manitoba Inc.,Manitoba Hydro,1
Centre Lane Trading Limited,Centre Lane Trading Ltd,1
Cheveron Canada Resources,Chevron Canada Resources,1
City of Burnaby,Trans Mountain Pipeline ULC,1
Dawn Gateway,Union Gas Limited,1
Duncan's First Nation,Imperial Oil,1
Duncan's First Nation,NOVA Gas Transmission Ltd.,1
EDF Trading North America LLC,British Columbia Transmission Corporation,1
EDF Trading North America LLC,Canadian Niagara Power Inc.,1
EDF Trading North America LLC,"EDF Trading North America, LLC",17
EDF Trading North America LLC,Hydro One Networks Inc.,1
EDF Trading North America LLC,Hydro-Quebec,1
EDF Trading North America LLC,Independent Electricity System Operator (IESO),1
EDF Trading North America LLC,Manitoba Hydro,1
EDF Trading North America LLC,New Brunswick System Operator,1
Ecojustice Canada,Trans Mountain Pipeline ULC,1
Emera Energy Inc.,Emera Energy Inc,1
Enbridge Bakken Pipeline Company Inc.,Enbridge Pipelines Inc.,1
Enbridge Consumers Gas,Canada Inc.,1
Enbridge Inc.,Enbridge Pipelines Inc.,1
Enbridge Pipelines Inc. and Enbridge Inc.,Enbridge Pipelines Inc.,1
Energie NB Power,New Brunswick Power Corporation,1
Energy East Pipeline Ltd. and TransCanada PipeLines Limited,Energy East Pipeline Ltd.,1
Environment Canada,Imperial Oil,1
Environmental Defence,Energy East Pipeline Ltd.,1
Equiterre (Coalition),Enbridge Pipelines Inc.,1
Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd,1
Fron Lake First Nations,Energy East Pipeline Ltd.,1
"GNWT, Department of Industry, Tourism and Investment",Sea Breeze Victoria Converter Corporation,1
Independent Electricity System Operator,Independent Electricity System Operator (IESO),1
Industrial Gas Users Association,The Queen in Right of the Province of New Brunswick,1
Irving Energy Services Ltd.,The Queen in Right of the Province of New Brunswick,1
Irving Oil Ltd.,The Queen in Right of the Province of New Brunswick,1
Kinder Morgan Cochin ULC and Kinder Morgan Utopia Ltd.,Kinder Morgan Utopia Ltd.,1
Maria La Rocca,TransCanada PipeLines Limited,1
Maritime Electric Company,The Queen in Right of the Province of New Brunswick,1
Mi'gmawe'l Tplu'taqnn Incorporated,ExxonMobil Canada Ltd.,1
NEB,Alliance Pipeline Ltd,3
NEB,British Columbia Hydro and Power Authority,2
NEB,Canada Inc.,1
NEB,Cenovus Energy Inc,1
NEB,Emera Brunswick Pipeline Company Ltd.,5
NEB,EnCana Corporation,2
NEB,EnCana Ekwan Pipeline Inc.,2
NEB,Enbridge Pipelines (Westspur) Inc.,2
NEB,Enbridge Pipelines Inc.,14
NEB,Gazoduc Trans Quebec & Maritimes Inc,1
NEB,Georgia Strait Crossing Pipeline Limited,1
NEB,Imperial Oil,2
NEB,Jordan Cove LNG L.P.,1
NEB,LNG Canada Development Inc.,1
NEB,Montana Alberta Tie Ltd.,1
NEB,NOVA Gas Transmission Ltd.,8
NEB,SemCAMS Redwillow ULC,1
NEB,Texadian Energy Canada Limited,1
NEB,Trans Mountain Pipeline Inc.,2
NEB,Trans Mountain Pipeline ULC,1
NEB,Trans-Northern Pipelines Inc,7
NEB,TransCanada PipeLines Limited,28
NEB,TransCanada Power Marketing Ltd.,2
NEB,Triton LNG Limited Partnership,1
NEB,Twin Rivers Paper Company Inc,1
NEB,Vantage Pipeline Canada ULC,1
NEB,Westcoast Energy Inc.,1
NOVA Gas Transmission Ltd.,TransCanada PipeLines Limited,1
National Energy Board,A C LNG INC.,1
National Energy Board,Alberta Ltd,1
National Energy Board,Algonquin Tinker Gen Co,1
National Energy Board,Alliance Pipeline Ltd,1
National Energy Board,AltaGas Ltd.,2
National Energy Board,Aurora Liquefied Natural Gas Ltd.,1
National Energy Board,BP Canada Energy Company,1
National Energy Board,Bow River Energy Ltd.,1
National Energy Board,Canada Inc.,3
National Energy Board,Canada Stewart Energy Group Ltd.,1
National Energy Board,"Cargill Energy Trading Canada, Inc.",1
National Energy Board,Columbia Power Corporation,1
National Energy Board,ConocoPhillips Canada Limited,1
National Energy Board,EnCana Corporation,5
National Energy Board,Enbridge Pipelines Inc.,9
National Energy Board,Energy East Pipeline Ltd.,7
National Energy Board,ExxonMobil Canada Ltd.,3
National Energy Board,Hydro One Networks Inc.,2
National Energy Board,Hydro-Québec,2
National Energy Board,ITC Lake Erie Connector LLC,1
National Energy Board,Independent Electricity System Operator (IESO),1
National Energy Board,Kitsault Energy Ltd,1
National Energy Board,Manitoba Hydro,6
National Energy Board,Many Islands Pipe Lines (Canada) Limited,1
National Energy Board,Mercuria Commodities Canada Corporation,1
National Energy Board,Montreal Pipe Line Limited,1
National Energy Board,NOVA Gas Transmission Ltd.,16
National Energy Board,Pembina Pipeline Corporation,1
National Energy Board,Pembina Resource Services Canada,1
National Energy Board,Plains Midstream Canada ULC,2
National Energy Board,Powerex Corp,2
National Energy Board,RBCP Canadian GP Limited,1
National Energy Board,Steelhead LNG (A) Inc.,1
National Energy Board,The Queen in Right of the Province of New Brunswick,6
National Energy Board,Trans Mountain Pipeline ULC,11
National Energy Board,TransCanada Keystone Pipeline GP Ltd.,2
National Energy Board,TransCanada PipeLines Limited,25
National Energy Board,TransGas Limited,1
National Energy Board,Tundra Energy Marketing Limited,1
National Energy Board,"Twin Eagle Resource Management, LLC",1
National Energy Board,Veresen NGL Pipeline Inc.,1
National Energy Board,Westcoast Energy Inc.,17
National Energy Board,"Williams Energy Marketing & Trading Canada, Inc.",1
National Energy Board,Woodside Energy Holdings Pty Ltd.,2
New Brunswick Energy Marketing Corporation,New Brunswick Power Generation Corporation,1
New Brunswick Power Corporation,New Brunswick System Operator,1
Nideva Properties Inc.,Union Gas Limited,1
Northland Power Energy Marketing (US) Inc.,Hydro-Quebec,1
Pacific Traverse Energy,Pacific Traverse Energy Ltd.,1
Panel-Commission,British Columbia Hydro and Power Authority,1
Papaschase Cree Nation,Westcoast Energy Inc.,1
Patrick G. Duffy,Scotia Capital Energy Inc,1
Powerex Corp.,Powerex Corp,2
Pro Information Pro Environment United People Network,Trans Mountain Pipeline ULC,1
Rob Power,Alliance Pipeline Ltd,1
Robyn Allan,Trans Mountain Pipeline ULC,2
SaskEnergy International,The Queen in Right of the Province of New Brunswick,1
