CANADA ENERGY REGULATOR - REGULATORY INSTRUMENTS REPORT - SEPTEMBER 2014 TO 30 SEPTEMBER 2019,,,,,,,,,,,,,,
File Number,"Regulatory 
Instrument 
Number",Issued To Company,"Board 
Item Identifier",,"Issued 
Date","Effective 
Date","Expire 
Date",Sunset Date,"Gic 
Approval 
Required","Sent To
Minister 
Date","Minister To 
Privy Council 
Office Date","Privy Council
Office Approval 
Number","Privy Council 
Office Approval 
Date","Reg Docs 
Number"
OF-EI-Oil-ST-M715 01,RO-ROE-054-2019,Macquarie Oil Services Canada Ltd.,190930.1,9/30/2019,9/30/2019,9/30/2019,,,No,,,,,C01920
OF-Tolls-Group1-E101-TFGen 01,Letter,Enbridge Pipelines Inc.                       ,,9/26/2019,9/27/2019,9/27/2019,,,No,,,,,C01893
OF-Fac-Gas-N081-2018-03 02,Letter,NOVA Gas Transmission Ltd.,,9/27/2019,9/27/2019,,,,No,,,,,C01892
OF-Fac-Gas-N081-2018-03 02,Letter,NOVA Gas Transmission Ltd.,,9/27/2019,9/27/2019,,,,No,,,,,C01894
OF-Fac-Oil-T260-2013-03 61,Letter,Trans Mountain Pipeline ULC,,9/27/2019,9/27/2019,9/27/2019,,,No,,,,,C01895
OF-Fac-Oil-T260-2013-03 61,Letter,Trans Mountain Pipeline ULC,,9/26/2019,9/27/2019,9/27/2019,,,No,,,,,C01883
OF-EI-Gas-GO-C295 01,GO-109-2019,Centra Gas Manitoba Inc.,190926.1,9/26/2019,9/26/2019,11/1/2019,10/31/2021,,No,,,,,C01854
OF-Fac-Gas-W102-2017-12 01,GPSO-024-2019,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",190926.3,9/26/2019,9/26/2019,9/26/2019,,,No,,,,,C01881
OF-EI-Oil-ST-O116 01,ROE-203-2019,OTG (On The Ground) Sourcing Inc.,190926.2,9/26/2019,9/26/2019,9/26/2019,12/31/2019,,No,,,,,C01878
OF-Fac-Gas-N081-2018-14 01,Letter,NOVA Gas Transmission Ltd.,190925.1,9/26/2019,9/26/2019,,,,No,,,,,C01879
OF-Fac-Gas-W102-2018-07 01,XG-021-2019,"Westcoast Energy Inc., carrying on business as                                 Spectra Energy Transmission",,8/22/2019,9/26/2019,9/26/2019,9/26/2022,9/26/2022,No,,,,,C01857
OF-Fac-Gas-W102-2018-07 01,XG-022-2019,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",,8/22/2019,9/26/2019,9/26/2019,9/26/2022,9/26/2022,No,,,,,C01857
OF-Fac-Gas-W102-2018-07 01,XG-023-2019,"Westcoast Energy Inc., carrying on business as
Spectra Energy Transmission",,8/22/2019,9/26/2019,9/26/2019,9/26/2022,9/26/2022,No,,,,,C01857
OF-Fac-Gas-W102-2018-07 01,XG-024-2019,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",,8/22/2019,9/26/2019,9/26/2019,9/26/2022,9/26/2022,No,,,,,C01857
OF-Fac-Oil-T260-2013-03 63,Letter,Trans Mountain Pipeline ULC,,9/24/2019,9/25/2019,,,,No,,,,,C01819
OF-EI-Elec-M180-2014-02 01,AO-001-EPE-393,"Manitoba Hydro-Electric Board - RÇgie de 
l'hydro-ÇlectricitÇ du Manitoba",190924.1,9/24/2019,9/24/2019,9/24/2019,,,No,,,,,C01810
OF-Fac-Oil-T260-2013-03 63,Letter,Trans Mountain Pipeline ULC,,9/24/2019,9/24/2019,,,,No,,,,,C01796
OF-Fac-Gas-N081-2019-11 01,Letter,NOVA Gas Transmission Ltd.,,9/24/2019,9/24/2019,,,,No,,,,,C01811
OF-EI-Gas-GO-E252 01,GO-108-2019,"EDF Trading North America, LLC",190923.1,9/23/2019,9/23/2019,10/1/2019,9/30/2021,,No,,,,,C01775
OF-Gen 06 - FRR,Letter,National Energy Board,,9/20/2019,9/23/2019,9/23/2019,,,No,,,,,C01748
OF-Fac-Gas-N081-2018-04 01,GPSO-023-2019,NOVA Gas Transmission Ltd.,190923.2,9/23/2019,9/23/2019,9/23/2019,,,No,,,,,C01762
OF-Tolls-Group1-N081-2019-04 01,Letter,NOVA Gas Transmission Ltd.,,9/23/2019,9/23/2019,9/23/2019,,,No,,,,,C01779
OF-EI-Gas-GO-C950 01,GO-106-2019,"CP Energy Marketing Inc., as General Partner, 
on behalf of/en tant que commanditÇ au nom 
de CP Energy Marketing L.P.",190920.1,9/20/2019,9/20/2019,11/15/2019,11/14/2021,,No,,,,,C01737
OF-EI-Gas-GO-C950 01,GO-107-2019,"CP Energy Marketing Inc., as General Partner, 
on behalf of/en tant que commanditÇ au nom 
de CP Energy Marketing L.P.",190920.1,9/20/2019,9/20/2019,11/15/2019,11/14/2021,,No,,,,,C01737
OF-Fac-Gas-V042-2019-02 01,Letter,Vermilion Energy Inc.,190919.4,9/20/2019,9/20/2019,,,,No,,, ,,C01736
OF-Fac-Oil-T260-2013-03 61,Letter,Trans Mountain Pipeline ULC,,9/19/2019,9/20/2019,9/20/2019,,,No,,,,,C01733
OF-Fac-Oil-T260-2013-03 61,Letter,Trans Mountain Pipeline ULC,,9/19/2019,9/20/2019,9/20/2019,,,No,,,,,C01734
OF-Fac-Oil-T260-2013-03 61,Letter,Trans Mountain Pipeline ULC,,9/19/2019,9/20/2019,9/20/2019,,,No,,,,,C01731
OF-Fac-Gas-T211-2019-03 01,Letter,TransCanada PipeLines Limited,190920.2,9/20/2019,9/20/2019,,,,No,,,,,C01740
OF-EI-Gas-GO-W077 01,GO-104-2019,Wisconsin Public Service Corporation,190919.3,9/19/2019,9/19/2019,11/9/2019,11/8/2021,,No,,,,,C01714
OF-EI-Gas-GO-W077 01,GO-105-2019,Wisconsin Public Service Corporation,190919.3,9/19/2019,9/19/2019,11/9/2019,11/8/2021,,No,,,,,C01714
OF-EI-Gas-GO-T142 01,GO-102-2019,Tenaska Marketing Canada,190919.2,9/19/2019,9/19/2019,10/15/2019,10/14/2021,,No,,,,,C01712
OF-EI-Gas-GO-T142 01,GO-103-2019,Tenaska Marketing Canada,190919.2,9/19/2019,9/19/2019,10/15/2019,10/14/2021,,No,,,,,C01712
OF-Fac-Gas-N081-2014-03 01,XG-N081-024-2014,NOVA Gas Transmission Ltd.,,9/19/2019,9/19/2019,9/19/2019,,,No,,,,,C01707
OF-Fac-Gas-N081-2014-03 01,AO-001-XG-N081-024-2014,NOVA Gas Transmission Ltd.,,9/19/2019,9/19/2019,9/19/2019,,,No,,,,,C01707
OF-Fac-Oil-E101-2019-05 01,Letter,Enbridge Pipelines Inc.,190919.1,9/19/2019,9/19/2019,,,,No,,,,,C01788
OF-Surv-Gen-DIO 01,Letter,National Energy Board,190918.1,9/18/2019,9/18/2019,,,,No,,,,,
OF-Fac-Oil-T260-2017-10 01,Letter,Trans Mountain Pipeline ULC,,9/17/2019,9/18/2019,,,,No,,,,,C01686
OF-Fac-Gas-N081-2018-03 02,Letter,NOVA Gas Transmission Ltd.,,9/18/2019,9/18/2019,,,,No,,,,,C01700
OF-Fac-Gas-N081-2018-03 02,Letter,NOVA Gas Transmission Ltd.,,9/18/2019,9/18/2019,,,,No,,,,,C01695
OF-Fac-Gas-N081-2019-02 02,Letter,NOVA Gas Transmission Ltd.,,9/18/2019,9/18/2019,9/18/2019,,,No,,,,,C01703
OF-Fac-Oil-T260-2013-03 61,Letter,Trans Mountain Pipeline ULC,,9/17/2019,9/18/2019,9/18/2019,,,No,,,,,C01687
